--------------------------- 786 -------------------------------------------

Ref. "Atomic data from the Iron Project LIX. New radiative transition
    probabilities for Fe IV including fine structure", Sultana N. Nahar and
    Anil K. Pradhan, Astron. Astrophys 437. 345 (2005)

--------------------------------------------------------------------------


 Fe IV : Calculated LS term energies (n-max=10, l-max=9)


 File contents
 -------------

 i) Table of target/core states in the wavefunction expansion

ii) Table of bound (negative) state energies (with spectroscopic notation)

iii) Table of complete set (both negative and positive) of energies


--------------------------------------------------------------------------

 i) Table of target/core states in the wavefunction expansion
-------------------------------------------------------------

 Z = 26, no of target/core electrons= 22

 no of target/core states in WF = 16

 target states and energies:

  1  3d4      5D    0.00000E+00
  2  3d4      3H    2.30232E-01
  3  3d4      3P    2.34211E-01
  4  3d4      3F    2.44942E-01
  5  3d4      3G    2.74991E-01
  6  3d4      1G    3.33399E-01
  7  3d4      3D    3.34726E-01
  8  3d4      1I    3.41832E-01
  9  3d4      1S    3.61166E-01
 10  3d4      1D    4.21837E-01
 11  3d4      1F    4.80536E-01
 12  3d4      3F    5.67719E-01
 13  3d4      3P    5.68463E-01
 14  3d4      1G    6.49554E-01
 15  3d4      1D    8.55063E-01
 16  3d4      1S    1.10382E+00

--------------------------------------------------------------------------

ii) Table of bound (negative) state energies (with spectroscopic notation)
--------------------------------------------------------------------------

 Ion ground state = 60002300.0000, Eo(Ry) = -4.0200E+00 =-IP

 lmax(for the outer electron) =   9
 Total number of bound states below threshold (with n= 10 & lmax= 9) =1827

 SPECTROSCOPIC ENERGY TABLE:
 NOTE:
 i) Table lists only the bound states below the ionization threshold
 However,  results include both the negative and positive energies
 ii) Each LS-term is preceded by an alphabetic character to represent 
 the seniority of the state. The states of an even parity symmetry 
 have an ascending order and of an odd parity symmetry have a
 descending order of alphabets. The alphabetic order starts with lower
 case and continues in to upper case.
 iii) The states with an valence electron represented by "0s" is an
 equivalent electron state for which the core configuration is to be 
 corrected manually.
 iv) All energies listed below are relative to the core ground state.
 Hence, for a state that does not couple to core ground state, the
 ionization energy is sum of (this energy + energy of the core that 
 couples to the the state-see table of target states above)
 v) Er: a non-zero value here gives the calculated energy which has
 been replaced  by the observed energy given in the left column

       State                  E(Ry)       Er(Ry)

 Eqv st (0S ) 0s  a6S        -4.02000   -4.02000
 3d4    (5D ) 4d  b6S        -1.39828    0.00000
 3d4    (5D ) 5d  c6S        -0.81636    0.00000
 3d4    (5D ) 6d  d6S        -0.54091    0.00000
 3d4    (5D ) 7d  e6S        -0.38568    0.00000
 3d4    (5D ) 8d  f6S        -0.28891    0.00000
 3d4    (5D ) 9d  g6S        -0.22449    0.00000
 3d4    (5D )10d  h6S        -0.17944    0.00000
 3d4    (5D )11d  i6S        -0.14672    0.00000
 3d4    (5D ) 4d  a6P        -1.55722    0.00000
 3d4    (5D ) 5d  b6P        -0.87599    0.00000
 3d4    (5D ) 6d  c6P        -0.57173    0.00000
 3d4    (5D ) 7d  d6P        -0.40367    0.00000
 3d4    (5D ) 8d  e6P        -0.30030    0.00000
 3d4    (5D ) 9d  f6P        -0.23216    0.00000
 3d4    (5D )10d  g6P        -0.18486    0.00000
 3d4    (5D )11d  h6P        -0.15068    0.00000
 3d4    (5D ) 4p  z6Po       -2.28789   -2.28789
 3d4    (5D ) 5p  y6Po       -1.16395    0.00000
 3d4    (5D ) 4f  x6Po       -1.01763    0.00000
 3d4    (5D ) 6p  w6Po       -0.71712    0.00000
 3d4    (5D ) 5f  v6Po       -0.65058    0.00000
 3d4    (5D ) 7p  u6Po       -0.48720    0.00000
 3d4    (5D ) 6f  t6Po       -0.45115    0.00000
 3d4    (5D ) 8p  s6Po       -0.35267    0.00000
 3d4    (5D ) 7f  r6Po       -0.33108    0.00000
 3d4    (5D ) 9p  q6Po       -0.26715    0.00000
 3d4    (5D ) 8f  p6Po       -0.25322    0.00000
 3d4    (5D )10p  o6Po       -0.20940    0.00000
 3d4    (5D ) 9f  n6Po       -0.19988    0.00000
 3d4    (5D )11p  m6Po       -0.16856    0.00000
 3d4    (5D )10f  l6Po       -0.16176    0.00000
 3d4    (5D )12p  k6Po       -0.13861    0.00000
 3d4    (5D )11f  j6Po       -0.13358    0.00000
 3d4    (5D ) 4s  a6D        -2.84921   -2.84921
 3d4    (5D ) 4d  b6D        -1.53345    0.00000
 3d4    (5D ) 5s  c6D        -1.36657    0.00000
 3d4    (5D ) 5d  d6D        -0.86719    0.00000
 3d4    (5D ) 6s  e6D        -0.81406    0.00000
 3d4    (5D ) 5g  f6D        -0.64248    0.00000
 3d4    (5D ) 6d  g6D        -0.56739    0.00000
 3d4    (5D ) 7s  h6D        -0.54093    0.00000
 3d4    (5D ) 6g  i6D        -0.44580    0.00000
 3d4    (5D ) 7d  j6D        -0.40115    0.00000
 3d4    (5D ) 8s  k6D        -0.38548    0.00000
 3d4    (5D ) 7g  l6D        -0.32742    0.00000
 3d4    (5D ) 8d  m6D        -0.29872    0.00000
 3d4    (5D ) 9s  n6D        -0.28866    0.00000
 3d4    (5D ) 8g  o6D        -0.25061    0.00000
 3d4    (5D ) 9d  p6D        -0.23110    0.00000
 3d4    (5D )10s  q6D        -0.22426    0.00000
 3d4    (5D ) 9g  r6D        -0.19796    0.00000
 3d4    (5D )10d  s6D        -0.18411    0.00000
 3d4    (5D )11s  t6D        -0.17925    0.00000
 3d4    (5D )10g  u6D        -0.16032    0.00000
 3d4    (5D )11d  v6D        -0.15013    0.00000
 3d4    (5D )12s  w6D        -0.14656    0.00000
