lambda_angstroms A            Z   ion_stage lower_energy_Ev   lower_statweight  forbidden  lower_level               upper_level               upper_statweight  upper_energy_Ev   upper_has_permitted
          3728.8 3.400000E-05   8         2              0.00            4.0000          1 2s2_2p3_4So[3/2]          2s2_2p3_2Do[5/2]                       6.00            3.3241                   0
          3726.0 1.690000E-04   8         2              0.00            4.0000          1 2s2_2p3_4So[3/2]          2s2_2p3_2Do[3/2]                       4.00            3.3266                   0
          2470.3 5.640000E-02   8         2              0.00            4.0000          1 2s2_2p3_4So[3/2]          2s2_2p3_2Po[3/2]                       4.00            5.0174                   0
          2470.2 2.320000E-02   8         2              0.00            4.0000          1 2s2_2p3_4So[3/2]          2s2_2p3_2Po[1/2]                       2.00            5.0176                   0
           834.5 1.297700E+09   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s_2p4_4Pe[5/2]                        6.00           14.8579                   1
           833.3 1.289600E+09   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s_2p4_4Pe[3/2]                        4.00           14.8782                   1
           832.8 1.294400E+09   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s_2p4_4Pe[1/2]                        2.00           14.8884                   1
           602.5 2.607000E+04   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s_2p4_2De[5/2]                        6.00           20.5799                   1
           602.4 4.388100E+03   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s_2p4_2De[3/2]                        4.00           20.5809                   1
           539.9 8.101400E+08   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)3s_4Pe[1/2]                2.00           22.9662                   1
           539.5 8.091400E+08   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)3s_4Pe[3/2]                4.00           22.9793                   1
           539.1 8.178500E+08   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)3s_4Pe[5/2]                6.00           22.9990                   1
           529.4 3.762900E+04   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)3s_2Pe[1/2]                2.00           23.4192                   1
           528.9 9.022400E+04   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)3s_2Pe[3/2]                4.00           23.4415                   1
           511.0 4.638100E+04   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s_2p4_2Se[1/2]                        2.00           24.2650                   1
           483.2 1.224100E+04   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(1De)3s_2De[5/2]                6.00           25.6612                   1
           483.2 2.060200E+03   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(1De)3s_2De[3/2]                4.00           25.6613                   1
           470.4 4.238200E+02   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s_2p4_2Pe[3/2]                        4.00           26.3583                   1
           470.0 2.036600E+02   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s_2p4_2Pe[1/2]                        2.00           26.3792                   1
           432.3 8.325700E+04   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)3d_4Fe[3/2]                4.00           28.6771                   1
           432.2 3.269900E+05   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)3d_4Fe[5/2]                6.00           28.6838                   1
           430.2 3.704200E+09   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)3d_4Pe[5/2]                6.00           28.8217                   1
           430.0 3.673300E+09   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)3d_4Pe[3/2]                4.00           28.8308                   1
           429.9 3.684200E+09   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)3d_4Pe[1/2]                2.00           28.8390                   1
           429.7 2.026500E+09   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)3d_4De[1/2]                2.00           28.8526                   1
           429.7 1.246900E+09   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)3d_4De[3/2]                4.00           28.8568                   1
           429.6 5.751200E+08   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)3d_4De[5/2]                6.00           28.8570                   1
           429.6 1.023200E+08   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)3d_2Fe[5/2]                6.00           28.8631                   1
           426.6 1.629300E+06   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)3d_2De[3/2]                4.00           29.0622                   1
           426.5 6.110900E+06   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)3d_2De[5/2]                6.00           29.0687                   1
           419.1 2.446500E+08   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)4s_4Pe[1/2]                2.00           29.5860                   1
           418.9 2.442900E+08   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)4s_4Pe[3/2]                4.00           29.5991                   1
           418.6 2.357200E+08   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)4s_4Pe[5/2]                6.00           29.6191                   1
           416.1 4.951400E+04   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)4s_2Pe[1/2]                2.00           29.7971                   1
           415.8 1.133400E+05   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)4s_2Pe[3/2]                4.00           29.8203                   1
           398.1 6.700600E+00   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(1De)3d_2Fe[5/2]                6.00           31.1479                   1
           395.2 6.004600E+04   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(1De)3d_2De[3/2]                4.00           31.3738                   1
           395.2 3.486600E+05   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(1De)3d_2De[5/2]                6.00           31.3741                   1
           394.0 2.051400E+05   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(1De)3d_2Pe[1/2]                2.00           31.4659                   1
           394.0 5.260600E+05   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(1De)3d_2Pe[3/2]                4.00           31.4662                   1
           392.3 3.969300E+08   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)4d_4De[5/2]                6.00           31.6031                   1
           392.0 1.511600E+09   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)4d_4Pe[5/2]                6.00           31.6290                   1
           391.9 1.720500E+09   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)4d_4Pe[3/2]                4.00           31.6336                   1
           391.9 1.848200E+09   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)4d_4Pe[1/2]                2.00           31.6362                   1
           391.9 3.679200E+06   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)4d_2Pe[3/2]                4.00           31.6375                   1
           391.7 2.028400E+06   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)4d_2Pe[1/2]                2.00           31.6509                   1
           391.7 1.318600E+05   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)4d_2Fe[5/2]                6.00           31.6534                   1
           391.2 4.348200E+05   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(1De)3d_2Se[1/2]                2.00           31.6932                   1
           390.9 9.078800E+05   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)4d_2De[3/2]                4.00           31.7205                   1
           390.8 3.909500E+06   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)4d_2De[5/2]                6.00           31.7273                   1
           388.1 1.035900E+08   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)5s_4Pe[1/2]                2.00           31.9502                   1
           387.9 1.010800E+08   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)5s_4Pe[3/2]                4.00           31.9631                   1
           387.6 9.752400E+07   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)5s_4Pe[5/2]                6.00           31.9836                   1
           387.0 1.223900E+05   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)5s_2Pe[1/2]                2.00           32.0389                   1
           386.7 2.554800E+05   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)5s_2Pe[3/2]                4.00           32.0631                   1
           385.7 3.660600E+03   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(1De)4s_2De[5/2]                6.00           32.1476                   1
           385.7 6.160900E+02   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(1De)4s_2De[3/2]                4.00           32.1476                   1
           377.0 2.839300E+08   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)5d_4De[5/2]                6.00           32.8831                   1
           376.7 1.458500E+06   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)5d_4Pe[5/2]                6.00           32.9093                   1
           376.7 1.367500E+09   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)5d_4Pe[3/2]                4.00           32.9139                   1
           376.7 1.367800E+09   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)5d_4Pe[1/2]                2.00           32.9153                   1
           376.1 2.919300E+08   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)5d_2De[5/2]                6.00           32.9618                   1
           375.0 2.225800E+07   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)6s_4Pe[1/2]                2.00           33.0663                   1
           374.8 2.228300E+07   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)6s_4Pe[3/2]                4.00           33.0792                   1
           374.6 2.232600E+07   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)6s_4Pe[5/2]                6.00           33.1002                   1
           369.3 9.168400E+08   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)6d_4Pe                    12.00           33.5699                   1
           368.2 6.300100E+06   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)7s_4Pe                    12.00           33.6756                   1
           365.0 1.054700E+09   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)7d_4Pe                    12.00           33.9683                   1
           364.3 2.097200E+07   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)8s_4Pe                    12.00           34.0376                   1
           363.7 4.248500E+08   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p3(5So)3p_4Pe                    12.00           34.0874                   1
           362.3 2.482700E+04   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(1De)4d_2Se[1/2]                2.00           34.2192                   1
           361.9 1.695800E+08   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)8d_4Pe                    12.00           34.2604                   1
           361.4 2.370500E+07   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)9s_4Pe                    12.00           34.3021                   1
           360.0 1.645700E+08   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)9d_4Pe                    12.00           34.4401                   1
           359.7 1.111800E+07   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)10s_4Pe                   12.00           34.4705                   1
           359.5 1.756000E+02   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(1De)5s_2De[5/2]                6.00           34.4855                   1
           358.6 1.311100E+08   8         2              0.00            4.0000          0 2s2_2p3_4So[3/2]          2s2_2p2(3Pe)10d_4Pe                   12.00           34.5697                   1
          7320.0 1.150300E-01   8         2              3.32            6.0000          1 2s2_2p3_2Do[5/2]          2s2_2p3_2Po[3/2]                       4.00            5.0174                   0
          7318.9 6.095100E-02   8         2              3.32            6.0000          1 2s2_2p3_2Do[5/2]          2s2_2p3_2Po[1/2]                       2.00            5.0176                   0
          1075.0 8.188500E+03   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s_2p4_4Pe[5/2]                        6.00           14.8579                   1
          1073.1 3.317600E+02   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s_2p4_4Pe[3/2]                        4.00           14.8782                   1
           718.5 3.041800E+09   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s_2p4_2De[5/2]                        6.00           20.5799                   1
           718.5 3.230500E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s_2p4_2De[3/2]                        4.00           20.5809                   1
           630.8 1.356100E+05   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)3s_4Pe[3/2]                4.00           22.9793                   1
           630.2 1.089100E+04   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)3s_4Pe[5/2]                6.00           22.9990                   1
